,Date,ID,Tweet,User
0,2018-12-27,1078308269855256581,AUD/USD is perilously close to the October low https://t.co/e22G1dpUwb https://t.co/AsbBC4F8FO,ForexLive
0,2018-12-31,1079743531382722560,"The AUD/USD is driving me crazy, $USD goes down, the Aussie drops also, it should be the opposite,.. Index within 15 pips of ++$$ for days, it challenges your will to play this stupid game.",petergo99037185
1,2018-12-30,1079508604124721152,"AUSTRALIA currency policy of minus 25% to USD (between AUD:USD 0.65 - 0.75, is the significant catalyst for the affordable housing crisis Australians are experiencing today. This 25% FX discount in foreign investors purchasing power - is priced into new housing. #ausecon #ausbiz",ArthurKokontis
1,2018-11-09,1060782998323388416,The bullish momentum in AUD/USD is in jeopardy https://t.co/LVh8g3sgYH,ForexLive
2,2018-09-24,1044015959160352773,"Barclays like the AUD - trade of the week is long AUD/USD (target, stop) https://t.co/GwFQN6ejS1",ForexLive
2,2018-12-29,1079163064933470208,"The AUD/USD exchange rate is about to make a rebound after falling off the cliff in early December. The U.S. recession fears are turning into a ""head fake"" and we expect the U.S. and China to come to a resolution over their trade tensions, sooner rather than later. https://t.co/kw7FQkpHG0",wijaranakula
3,2018-08-19,1031318299928350720,Barclays trade of the week is short AUD/USD https://t.co/yjvUSIcXPA,ForexLive
3,2018-12-29,1079059527289442304,AUD/USD is perilously close to the October low (update: it broke)  #fxtrading https://t.co/8WPO1IV1B3,breaksnrevs
4,2018-12-28,1078618254816497664,"AUD/USD .7064!!!  So everything bought in the .7050/.7000 zone is now in profit. Easy as shelling fucking peas!!  We'll be having iced buns for tea!! Nice way of ending my time on  twitter. Bodgejob has helped me wean myself off slowly, lessening the withdrawal symptoms",bodgejob2
4,2018-08-13,1028906530207408128,AUD/USD is off the lows but the signs aren't looking good https://t.co/dhepmMzCgr,ForexLive
5,2018-12-28,1078497901150720010,AUD/USD is perilously close to the October low (update: it broke) https://t.co/5TVzIJLGTt https://t.co/ThUrZqvKiD,cyprosoftware
5,2018-06-19,1008927977977966592,Westpac says that AUD/USD is on its way towards 0.70 https://t.co/foGFz5yFkr,ForexLive
6,2018-12-27,1078338123388645381,"AUD/USD is perilously close to the October low (update: it broke) 
@forexlive https://t.co/0tLCVcIH8u",GlobalNewsAUS
6,2018-04-22,988201732789473285,Goldman Sachs says AUD/USD is approaching a critical pivot at 0.7630 https://t.co/GsI2ZuJwxk,ForexLive
7,2018-12-27,1078329426323169286,AUD/USD is perilously close to the October low (update: it broke) | Visit Now -&gt; https://t.co/GyBYAJzk3D https://t.co/tYuwnhgx42,forexgurumaster
7,2018-03-16,974704637570887680,It's getting quiet out there but AUD/USD is looking at a new low,ForexLive
8,2018-12-27,1078315373278216193,AUD/USD is perilously close to the October low (update: it broke)  https://t.co/2nvegwp9jM,SmileFunRu
8,2018-01-24,956043750987444224,Staying above 0.8000 is a good platform for AUD/USD bulls to build on https://t.co/5NOXB2cs9K,ForexLive
9,2017-12-05,937885131716661248,AUD/USD: Levels to watch if the RBA is dovish https://t.co/Q99zirKFtx,ForexLive
9,2018-12-27,1078312975486930945,AUD/USD is perilously close to the October low (update: it broke) https://t.co/QZDnOYaEP4 https://t.co/1Cy9fJ37H6,trdrmtscdr
10,2017-11-20,932756162109497344,Australian dollar - Morgan Stanley long term view is 0.65 for AUD/USD  https://t.co/4OxbJX7PX3,ForexLive
10,2018-12-27,1078312761770168320,AUD/USD is perilously close to the October low (update: it broke) - https://t.co/P2JDW90qMc,cfdbrokerfxmrkt
11,2018-12-27,1078310571039027201,AUD/USD is perilously close to the October low https://t.co/AUbkNumqGc https://t.co/TFoy78r4Em,18dMedia
11,2017-09-12,907705749765103616,#iphonex  AUD/USD is overvalued says this bank's iPhone and iPad index ... https://t.co/TlrjebJZlv,ForexLive
12,2017-09-11,907375462376263680,AUD/USD is overvalued says this bank's iPhone and iPad index https://t.co/hk9U6IAhXm,ForexLive
12,2018-12-27,1078310140464562176,"FL: AUD/USD is perilously close to the October low December 27, 2018 at 03:14PM https://t.co/YM42FYrzzt https://t.co/Adv3rUlMNH",fonecable
