Date,Date,Headline
2019-01-25,2019-01-25,Forex - Pound Gains on Hopes That U.K. Might Avoid No-deal Brexit
2019-01-24,2019-01-24,Forex - Dollar Rallies as Draghi Drags Down Euro
2019-01-24,2019-01-24,Gloomy data shoves euro lower ahead of ECB meeting
2019-01-24,2019-01-24,Yuan bulls re-emerge amid growing trade talk hopes: Reuters poll
2019-01-24,2019-01-24,"Forex - Dollar Pushes Higher But Gains Checked, Aussie Weaker"
2019-01-23,2019-01-23,Forex - Aussie Dollar Falls After National Australia Bank Hikes Home Loan Rates
2019-01-23,2019-01-23,"Dollar hampered by global growth, trade war worries; Aussie slips"
2019-01-23,2019-01-23,"Prolonged Shutdown Risks Tarnishing Appeal of Dollar, Treasuries"
2019-01-23,2019-01-23,'Doom Loop' of Debt Threatens to Drag Down Australian Dollar
2019-01-23,2019-01-23,Forex - Dollar Struggles as Sterling Soars on Brexit-Delay Hopes
2019-01-23,2019-01-23,Dollar near three-week high as central banks eyed
2019-01-23,2019-01-23,"Forex - U.S. Dollar Steady, Yen Weakens as Risk Appetite Improves"
2019-01-23,2019-01-23,Philippine Central Bank Chief Takes Indefinite Medical Leave
2019-01-22,2019-01-22,"Forex - Japanese Yen Falls; BOJ, Weaker-than-expected Export Data in Focus"
2019-01-22,2019-01-22,Forex - Dollar Edges Lower as Weak Housing Data Weighs
2019-01-22,2019-01-22,Oil Prices Slide as Global Growth Concerns Spark Flight From Risk
2019-01-22,2019-01-22,"Dollar up as growth worries, trade tensions hurt risk appetite"
2019-01-22,2019-01-22,Forex - Dollar Firm as Pessimism over Global Growth hits Risk Sentiment
2019-01-22,2019-01-22,Forex - U.S. Dollar Steadies as IMF’s New Warning Supports Safe-Haven Demand
2019-01-21,2019-01-21,"Yuan's drop aligns it with China's cooling economy, easier policy"
2019-01-21,2019-01-21,Forex - Sterling slides before May outlines Brexit plan B
2019-01-21,2019-01-21,UBS says not yet time to buy sterling
2019-01-21,2019-01-21,"Forex - Yen Firms as China Growth Slows, Dollar Dips"
2019-01-20,2019-01-20,Forex - Yuan Falls After GDP Data; Pound Flat as May Prepares to Reveal “Plan B”
2019-01-20,2019-01-20,"Dollar firm near two-week high, risk appetite unfazed by weak China GDP"
2019-01-20,2019-01-20,Goldman Says Pound Will Rise Against All G-10 Peers This Year
2019-01-20,2019-01-20,Forex - Weekly Outlook: January 21 -25
2019-01-18,2019-01-18,Forex - Dollar Set to Snap Four-Week Losing Streak amid Trade Optimism
2019-01-18,2019-01-18,Forex - U.S. Dollar Rises as Consumer Optimism Falls
2019-01-18,2019-01-18,Forex - Sterling Falls as U.K. Retail Sales Slump in December
2019-01-18,2019-01-18,Pound set for biggest weekly gain vs euro in 16 months on Brexit hopes
2019-01-18,2019-01-18,Forex - Dollar Little Changed; China-U.S. Trade Talks in Focus
2019-01-17,2019-01-17,Forex - Upbeat U.S. Data Can't Help Dollar as Sterling Reigns Supreme
2019-01-17,2019-01-17,Forex - U.S. Dollar Remains Steady as Jobless Claims at 5-Week Low
